Class;Uniprot;Receptor;Merg Gs;Merg Gi/Go;Merg Gq/G11;Merg G12/G13;Gtop Gs;Gtop Gi/Go;Gtop Gq/G11;Gtop G12/G13;Asuka Gs;Asuka Gi/Go;Asuka Gq/G11;Asuka G12/G13
Class A;5HT1A;5-HT1A;;primary;primary;;;primary;;;No coupling;primary;primary;No coupling
Class A;5HT1B;5-HT1B;;primary;secondary;;;primary;;;No coupling;primary;secondary;No coupling
Class A;5HT1D;5-HT1D;;primary;secondary;;;primary;;;No coupling;primary;secondary;No coupling
Class A;5HT1E;5-ht1E;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
Class A;5HT1F;5-HT1F;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
Class A;5HT2A;5-HT2A;;secondary;primary;;;secondary;primary;;No coupling;secondary;primary;No coupling
Class A;5HT2B;5-HT2B;;secondary;primary;;;;primary;;No coupling;secondary;primary;No coupling
Class A;5HT2C;5-HT2C;;primary;primary;secondary;;secondary;primary;;No coupling;primary;secondary;secondary
Class A;5HT4R;5-HT4;primary;primary;secondary;secondary;primary;;;secondary;secondary;primary;secondary;No coupling
Class A;5HT5A;5-HT5A;;primary;secondary;;;primary;secondary;;;;;
Class A;5HT6R;5-HT6;primary;secondary;secondary;secondary;primary;;secondary;;primary;secondary;secondary;secondary
Class A;5HT7R;5-HT7;primary;secondary;primary;primary;primary;;;;primary;secondary;primary;primary
Class A;ACM1;M1;;secondary;primary;;;;primary;;No coupling;secondary;primary;No coupling
Class A;ACM2;M2;secondary;primary;secondary;;secondary;primary;secondary;;No coupling;primary;No coupling;No coupling
Class A;DRD2;D2;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
Class A;ACM3;M3;;secondary;primary;;;;primary;;No coupling;secondary;primary;No coupling
Class A;ACM4;M4;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
Class A;ACM5;M5;;secondary;primary;;;;primary;;No coupling;secondary;primary;No coupling
Class A;ADA1A;α1A<;primary;;primary;secondary;;;primary;secondary;primary;No coupling;primary;secondary
Class A;ADA1B;α1B<;primary;;primary;;;;primary;;primary;No coupling;secondary;No coupling
Class A;ADA1D;α1D<;primary;;primary;;;;primary;;primary;No coupling;primary;No coupling
Class A;ADA2A;α2A<;secondary;primary;;;secondary;primary;;;No coupling;primary;No coupling;No coupling
Class A;ADA2B;α2B<;secondary;primary;;secondary;secondary;primary;;;No coupling;primary;No coupling;secondary
Class A;ADA2C;α2C<;secondary;primary;;;secondary;primary;;;No coupling;primary;No coupling;No coupling
Class A;ADRB1;β1;primary;secondary;primary;;primary;secondary;;;secondary;No coupling;primary;No coupling
Class A;ADRB2;β2;primary;secondary;primary;;primary;secondary;;;primary;No coupling;primary;No coupling
Class A;ADRB3;β3;primary;secondary;;;primary;secondary;;;primary;No coupling;No coupling;No coupling
Class A;DRD1;D1;primary;secondary;primary;;primary;;;;primary;secondary;primary;No coupling
Class A;DRD3;D3;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
Class A;DRD4;D4;;primary;;;;primary;;;No coupling;primary;No coupling;No coupling
