name,family,subfamily,score,aska_gs,aska_gio,aska_gq11,aska_g1213,gtop_gs,gtop_gio,gtop_gq11,gtop_g1213,merg_gs,merg_gio,merg_gq11,merg_g1213
taar2_human,Orphan receptors,Class A orphans,62.3,0,0,0,0,0,0,0,0,0,0,0,0
taar9_human,Orphan receptors,Class A orphans,66.7,0,0,0,0,0,0,0,0,0,0,0,0
mrgre_human,Orphan receptors,Class A orphans,37.7,0,0,0,0,0,0,0,0,0,0,0,0
lpar3_human,Lipid receptors,Lysophospholipid (LPA) receptors,56.5,2,1,2,2,0,1,1,0,2,1,1,2
npff1_human,Peptide receptors,Neuropeptide FF/neuropeptide AF receptors,53.6,0,1,0,0,0,1,0,0,0,1,0,0
gp141_human,Orphan receptors,Class A orphans,41.3,0,0,0,0,0,0,0,0,0,0,0,0
ackr3_human,Protein receptors,Chemokine receptors,37.6,0,0,0,0,0,0,0,0,0,0,0,0
oprm_human,Peptide receptors,Opioid receptors,70.3,0,1,0,0,0,1,2,0,0,1,2,0
hrh3_human,Aminergic receptors,Histamine receptors,64.6,0,1,0,0,0,1,0,0,0,1,0,0
par3_human,Peptide receptors,Proteinase-activated receptors,46.3,2,2,2,1,0,0,0,0,2,2,2,1
ccr7_human,Protein receptors,Chemokine receptors,54.3,0,0,0,0,0,1,0,0,0,1,0,0
5ht5a_human,Aminergic receptors,5-Hydroxytryptamine receptors,63,0,0,0,0,0,1,2,0,0,1,2,0
gp182_human,Orphan receptors,Class A orphans,40.6,0,0,0,0,0,0,0,0,0,0,0,0
acm3_human,Aminergic receptors,Acetylcholine receptors (muscarinic),62.4,0,2,1,0,0,0,1,0,0,2,1,0
pd2r2_human,Lipid receptors,Prostanoid receptors,44.9,0,0,0,0,0,1,0,0,0,1,0,0
ssr1_human,Peptide receptors,Somatostatin receptors,69.6,0,1,0,2,0,1,0,0,0,1,0,2
bkrb1_human,Peptide receptors,Bradykinin receptors,59.4,2,1,1,2,0,1,1,0,2,1,1,2
opsr_human,Sensory receptors,Opsins,76.8,0,0,0,0,0,0,0,0,0,0,0,0
gpr1_human,Orphan receptors,Class A orphans,51.4,0,0,0,0,0,0,0,0,0,0,0,0
ffar4_human,Lipid receptors,Free fatty acid receptors,39.1,2,1,2,2,0,0,1,0,2,1,1,2
cltr2_human,Lipid receptors,Leukotriene receptors,53.7,0,2,1,0,0,2,1,0,0,2,1,0
gp142_human,Orphan receptors,Class A orphans,62.3,0,0,0,0,0,0,0,0,0,0,0,0
aa2ar_human,Nucleotide receptors,Adenosine receptors,67.4,1,1,1,0,1,0,2,0,1,1,1,0
psyr_human,Orphan receptors,Class A orphans,60.1,0,0,0,0,1,0,0,0,1,0,0,0
lgr5_human,Orphan receptors,Class A orphans,43.5,0,0,0,0,0,0,0,0,0,0,0,0
rxfp1_human,Peptide receptors,Relaxin family peptide receptors,57.3,0,0,0,0,1,1,0,0,1,1,0,0
ada1d_human,Aminergic receptors,Adrenoceptors,58,1,0,1,0,0,0,1,0,1,0,1,0
fpr3_human,Peptide receptors,Formylpeptide receptors,50.7,0,0,0,0,0,1,0,0,0,1,0,0
mrgrf_human,Orphan receptors,Class A orphans,53.7,0,0,0,0,0,0,0,0,0,0,0,0
ccrl2_human,Protein receptors,Chemokine receptors,37.6,0,0,0,0,0,0,0,0,0,0,0,0
gp152_human,Orphan receptors,Class A orphans,52.2,0,0,0,0,0,0,0,0,0,0,0,0
gpr42_human,Lipid receptors,Free fatty acid receptors,47.1,0,0,0,0,0,0,0,0,0,0,0,0
gpr19_human,Orphan receptors,Class A orphans,49.2,0,0,0,0,0,0,0,0,0,0,0,0
ccr1_human,Protein receptors,Chemokine receptors,61.6,0,0,0,0,0,1,0,0,0,1,0,0
gpr39_human,Orphan receptors,Class A orphans,56.5,0,0,0,0,2,0,1,2,2,0,1,2
gpr37_human,Orphan receptors,Class A orphans,50.1,0,0,0,0,0,1,0,0,0,1,0,0
gpr82_human,Orphan receptors,Class A orphans,45.7,0,0,0,0,0,0,0,0,0,0,0,0
mrgx2_human,Orphan receptors,Class A orphans,47.1,2,1,1,2,0,1,1,0,2,1,1,2
p2y12_human,Nucleotide receptors,P2Y receptors,44.9,0,1,0,0,0,0,0,0,0,1,0,0
oxgr1_human,Alicarboxylic acid receptors,Oxoglutarate receptors,63,2,2,1,2,0,0,1,0,2,2,1,2
s1pr4_human,Lipid receptors,Lysophospholipid (S1P) receptors,58,0,0,0,0,0,1,0,1,0,1,0,1
mc4r_human,Peptide receptors,Melanocortin receptors,47.1,2,2,1,2,1,0,0,0,1,2,1,2
gpr25_human,Orphan receptors,Class A orphans,57.3,0,0,0,0,0,0,0,0,0,0,0,0
gp160_human,Orphan receptors,Class A orphans,33.3,0,0,0,0,0,0,0,0,0,0,0,0
fpr1_human,Peptide receptors,Formylpeptide receptors,53.6,0,1,2,0,0,1,0,0,0,1,2,0
c5ar1_human,Peptide receptors,Complement peptide receptors,49.9,0,0,0,0,0,1,2,0,0,1,2,0
5ht1e_human,Aminergic receptors,5-Hydroxytryptamine receptors,74,0,1,0,0,0,1,0,0,0,1,0,0
cxcr6_human,Protein receptors,Chemokine receptors,48.5,0,0,0,0,0,1,0,0,0,1,0,0
rxfp2_human,Peptide receptors,Relaxin family peptide receptors,63,0,0,0,0,1,1,0,0,1,1,0,0
gpr63_human,Orphan receptors,Class A orphans,43.5,0,0,0,0,0,0,0,0,0,0,0,0
cxcr2_human,Protein receptors,Chemokine receptors,49.3,0,0,0,0,0,1,0,0,0,1,0,0
gpr32_human,Orphan receptors,Class A orphans,55.1,0,0,0,0,0,0,0,0,0,0,0,0
ccr9_human,Protein receptors,Chemokine receptors,51.4,0,0,0,0,0,1,0,0,0,1,0,0
ackr4_human,Protein receptors,Chemokine receptors,34.7,0,0,0,0,0,0,0,0,0,0,0,0
gp101_human,Orphan receptors,Class A orphans,58.7,0,0,0,0,1,0,0,0,1,0,0,0
5ht2c_human,Aminergic receptors,5-Hydroxytryptamine receptors,66,0,1,2,2,0,2,1,0,0,1,1,2
adrb2_human,Aminergic receptors,Adrenoceptors,70.3,1,0,1,0,1,2,0,0,1,2,1,0
